*020612  061202:164
*020731  073102:253
*020807  080702:169
020814  081402:1
*020828  082802:216
*020904  090402:221
*020911  091102:180
*020918  091802:186
020925  092502:257
021002  100202:244
021010  101002:294
021017  101702:221
021024  102402:195
021031  103102:203
021107  110702:198
021121  112102:31
021205  120502:228
021212  121202:223
021219  121902:206
*030102  010203:238
*030109  010903:222
*030116  011603:274
030123  012303:212
030206  020603:213
030213  021303:113
030220  022003:188
030227  022703:185
030306  030603:129
030313  031303:198
030320  032003:128
030327  032703:156
030403  040303:180
030410  041003:128
030424  042403:160
030501  050103:83
030511  051103:203
030518  051803:106
030525  052503:269
030601  060103:198
030608  060803:158
030615  061503:140
030622  062203:136
030629  062903:126
030706  070603:154
030713  071303:139
030720  072003:150
030727  072703:131
030803  080303:129
030810  081003:265
030817  081703:145
030824  082403:196
030831  083103:151
030907  090703:87
030914  091403:186
030921  092103:152
030928  092803:242
031012  101203:219
031019  101903:174
031026  102603:102
031102  110203:172
*031109  110903:107
031116  111603:155
031123  112303:137
031207  120703:128
031214  121403:152
*031221  122103:122
*040111  011104:96
040118  011804:102
040125  012504:152
040201  020104:130
040208  020804:206
040215  021504:150
040222  022204:178
*040307  030704:135
040314  031404:120
040328  032804:89
040404  040404:154
040411  041104:166
040418  041804:151
040425  042504:180
040502  050204:185
040509  050904:165
040516  051604:139
040523  052304:117
040530  053004:133
*040613  061304:140
040620  062004:104
040627  062704:140
040711  071104:42
040718  071804:156
040725  072504:118
040801  080104:128
040808  080804:91
040815  081504:133
*040822  082204:105
040905  090504:84
040912  091204:103
040919  091904:161
040926  092604:86
041003  100304:138
041010  101004:131
041017  101704:150
041024  102404:149
041107  110704:193
041121  112104:157
041128  112804:133
041205  120504:145
*041212  121204:148
041219  121904:169
050102  010205:314
050116  011605:183
050123  012305:129
050130  013005:184
050213  021305:144
*050220  022005:98
050306  030605:121
050313  031305:180
050327  032705:130
050403  040305:142
050410  041005:103
050417  041705:116
050424  042405:194
050501  050105:242
050508  050805:163
050522  052205:147
050605  060505:147
050612  061205:189
050619  061905:151
050703  070305:91
-050710  071005:92
050717  071705:171
050724  072405:177
050807  080705:206
*050814  081405:135
050821  082105:149
050828  082805:157
050904  090405:139
050911  091105:111
*050918  091805:99
051002  100205:100
051009  100905:152
051016  101605:160
051023  102305:173
051106  110605:177
051113  111305:157
051120  112005:76
051204  120405:157
*051211  121105:54
051218  121805:150
060108  010806:119
060115  011506:174
060122  012206:194
060129  012906:172
*060212  021206:181
060226  022606:140
060304  030406:98
060311  031106:175
060319  031906:134
060401  040106:70
060415  041506:118
*060429  042906:88
060506  050606:136
060520  052006:51
060527  052706:153
060603  060306:77
060610  061006:65
060618  061806:107
060624  062406:162
060701  070106:150
060715  071506:146
060730  073006:149
060805  080506:136
*060812  081206:200
060820  082006:159
060902  090206:174
060909  090906:114
060923  092306:220
061007  100706:110
061014  101406:126
061021  102106:155
061028  102806:157
*061111  111106:140
061118  111806:143
061202  120206:68
070818  081807:65
070825  082507:120
070909  090907:112
070916  091607:162
070922  092207:134
071006  100607:142
071014  101407:180
*071027  102707:109
071103  110307:123
071110  111007:143
071118  111807:121
071208  120807:200
071216  121607:137
080120  012008:121
080127  012708:172
*080210  021008:170
080217  021708:122
080224  022408:121
080302  030208:126
080309  030908:122
080325  032508:175
080330  033008:178
080406  040608:197
080413  041308:174
*080420  042008:117
080504  050408:158
080518  051808:138
080525  052508:95
080601  060108:140
080608  060808:137
080615  061508:144
080622  062208:172
080706  070608:101
*080713  071308:147
080727  072708:164
080817  081708:81
080831  083108:109
080907  090708:150
080914  091408:137
080921  092108:134
081005  100508:109
081019  101908:137
081026  102608:86
081102  110208:106
081109  110908:108
*081123  112308:67
-----------------
090103  010309:103
*090110  011009:123
090117  011709:122
090124  012409:128
090207  020709:98
090228  022809:116
090314  031409:117
090328  032809:139
*090404  040409:140
